"Trait" "Outcome" "type" "Moderator" "Covariate"
"A" "crystallized" "Bayesian" "baseAge" "age"
"A" "crystallized" "Bayesian" "baseAge" "all"
"A" "crystallized" "Bayesian" "baseAge" "education"
"A" "crystallized" "Bayesian" "baseAge" "gender"
"A" "crystallized" "Bayesian" "baseAge" "none"
"A" "crystallized" "Bayesian" "baseYear" "age"
"A" "crystallized" "Bayesian" "baseYear" "all"
"A" "crystallized" "Bayesian" "baseYear" "education"
"A" "crystallized" "Bayesian" "baseYear" "gender"
"A" "crystallized" "Bayesian" "baseYear" "none"
"A" "crystallized" "Bayesian" "continent" "age"
"A" "crystallized" "Bayesian" "continent" "all"
"A" "crystallized" "Bayesian" "continent" "education"
"A" "crystallized" "Bayesian" "continent" "gender"
"A" "crystallized" "Bayesian" "continent" "none"
"A" "crystallized" "Bayesian" "country" "age"
"A" "crystallized" "Bayesian" "country" "all"
"A" "crystallized" "Bayesian" "country" "education"
"A" "crystallized" "Bayesian" "country" "gender"
"A" "crystallized" "Bayesian" "country" "none"
"A" "crystallized" "Bayesian" "predInt" "age"
"A" "crystallized" "Bayesian" "predInt" "all"
"A" "crystallized" "Bayesian" "predInt" "education"
"A" "crystallized" "Bayesian" "predInt" "gender"
"A" "crystallized" "Bayesian" "predInt" "none"
"A" "crystallized" "Bayesian" "scale" "age"
"A" "crystallized" "Bayesian" "scale" "all"
"A" "crystallized" "Bayesian" "scale" "education"
"A" "crystallized" "Bayesian" "scale" "gender"
"A" "crystallized" "Bayesian" "scale" "none"
"A" "crystallized" "Frequentist" "baseAge" "age"
"A" "crystallized" "Frequentist" "baseAge" "all"
"A" "crystallized" "Frequentist" "baseAge" "education"
"A" "crystallized" "Frequentist" "baseAge" "gender"
"A" "crystallized" "Frequentist" "baseAge" "none"
"A" "crystallized" "Frequentist" "baseYear" "age"
"A" "crystallized" "Frequentist" "baseYear" "all"
"A" "crystallized" "Frequentist" "baseYear" "education"
"A" "crystallized" "Frequentist" "baseYear" "gender"
"A" "crystallized" "Frequentist" "baseYear" "none"
"A" "crystallized" "Frequentist" "continent" "age"
"A" "crystallized" "Frequentist" "continent" "all"
"A" "crystallized" "Frequentist" "continent" "education"
"A" "crystallized" "Frequentist" "continent" "gender"
"A" "crystallized" "Frequentist" "continent" "none"
"A" "crystallized" "Frequentist" "country" "age"
"A" "crystallized" "Frequentist" "country" "all"
"A" "crystallized" "Frequentist" "country" "education"
"A" "crystallized" "Frequentist" "country" "gender"
"A" "crystallized" "Frequentist" "country" "none"
"A" "crystallized" "Frequentist" "predInt" "age"
"A" "crystallized" "Frequentist" "predInt" "all"
"A" "crystallized" "Frequentist" "predInt" "education"
"A" "crystallized" "Frequentist" "predInt" "gender"
"A" "crystallized" "Frequentist" "predInt" "none"
"A" "crystallized" "Frequentist" "scale" "age"
"A" "crystallized" "Frequentist" "scale" "all"
"A" "crystallized" "Frequentist" "scale" "education"
"A" "crystallized" "Frequentist" "scale" "gender"
"A" "crystallized" "Frequentist" "scale" "none"
"C" "crystallized" "Bayesian" "baseAge" "age"
"C" "crystallized" "Bayesian" "baseAge" "all"
"C" "crystallized" "Bayesian" "baseAge" "education"
"C" "crystallized" "Bayesian" "baseAge" "gender"
"C" "crystallized" "Bayesian" "baseAge" "none"
"C" "crystallized" "Bayesian" "baseYear" "age"
"C" "crystallized" "Bayesian" "baseYear" "all"
"C" "crystallized" "Bayesian" "baseYear" "education"
"C" "crystallized" "Bayesian" "baseYear" "gender"
"C" "crystallized" "Bayesian" "baseYear" "none"
"C" "crystallized" "Bayesian" "continent" "age"
"C" "crystallized" "Bayesian" "continent" "all"
"C" "crystallized" "Bayesian" "continent" "education"
"C" "crystallized" "Bayesian" "continent" "gender"
"C" "crystallized" "Bayesian" "continent" "none"
"C" "crystallized" "Bayesian" "country" "age"
"C" "crystallized" "Bayesian" "country" "all"
"C" "crystallized" "Bayesian" "country" "education"
"C" "crystallized" "Bayesian" "country" "gender"
"C" "crystallized" "Bayesian" "country" "none"
"C" "crystallized" "Bayesian" "predInt" "age"
"C" "crystallized" "Bayesian" "predInt" "all"
"C" "crystallized" "Bayesian" "predInt" "education"
"C" "crystallized" "Bayesian" "predInt" "gender"
"C" "crystallized" "Bayesian" "predInt" "none"
"C" "crystallized" "Bayesian" "scale" "age"
"C" "crystallized" "Bayesian" "scale" "all"
"C" "crystallized" "Bayesian" "scale" "education"
"C" "crystallized" "Bayesian" "scale" "gender"
"C" "crystallized" "Bayesian" "scale" "none"
"C" "crystallized" "Frequentist" "baseAge" "age"
"C" "crystallized" "Frequentist" "baseAge" "all"
