"Trait" "Outcome" "type" "Moderator" "Covariate" "done"
"A" "crystallized" "Bayesian" "gender" "all" NA
"A" "crystallized" "Bayesian" "gender" "none" NA
"A" "crystallized" "Frequentist" "age" "all" NA
"A" "crystallized" "Frequentist" "age" "none" NA
"A" "crystallized" "Frequentist" "gender" "all" NA
"A" "crystallized" "Frequentist" "gender" "none" NA
"C" "crystallized" "Bayesian" "gender" "all" NA
"C" "crystallized" "Bayesian" "gender" "none" NA
"C" "crystallized" "Frequentist" "education" "all" NA
"C" "crystallized" "Frequentist" "education" "none" NA
"C" "crystallized" "Frequentist" "gender" "all" NA
"C" "crystallized" "Frequentist" "gender" "none" NA
"E" "crystallized" "Bayesian" "gender" "all" NA
"E" "crystallized" "Bayesian" "gender" "none" NA
"E" "crystallized" "Frequentist" "age" "all" NA
"E" "crystallized" "Frequentist" "age" "none" NA
"E" "crystallized" "Frequentist" "education" "all" NA
"E" "crystallized" "Frequentist" "gender" "all" NA
"E" "crystallized" "Frequentist" "gender" "none" NA
"N" "crystallized" "Bayesian" "gender" "all" NA
"N" "crystallized" "Bayesian" "gender" "none" NA
"N" "crystallized" "Frequentist" "age" "all" NA
"N" "crystallized" "Frequentist" "gender" "all" NA
"N" "crystallized" "Frequentist" "gender" "none" NA
"O" "crystallized" "Bayesian" "gender" "all" NA
"O" "crystallized" "Bayesian" "gender" "none" NA
"O" "crystallized" "Frequentist" "age" "all" NA
"O" "crystallized" "Frequentist" "age" "none" NA
"O" "crystallized" "Frequentist" "education" "none" NA
"O" "crystallized" "Frequentist" "gender" "all" NA
"O" "crystallized" "Frequentist" "gender" "none" NA
